id,blok,estate,divisi,status_lahan,tahun_tanam,jenis_bibit,status_tanaman,blok_tt,jumlah_pokok,luas,sph
262,C17,Sedadung,2,Inti,2020,Socfindo,TM,C172020,243,1.58,153.79746835443038
263,C17,Sedadung,2,Inti,2021,Socfindo,TBM,C172021,52,0.15,346.6666666666667
264,C17,Sedadung,2,Inti,2022,Lonsum,TBM,C172022,290,1.8,161.11111111111111
265,C17,Sedadung,2,Inti,2023,Lonsum,TBM,C172023,108,0.69,156.52173913043478
266,C18,Sedadung,2,Inti,2020,Socfindo,TM,C182020,47,0.4,117.5
267,C19,Sedadung,2,Inti,2009,Lonsum,TM,C192009,3040,22.85,133.04157549234134
268,C19,Sedadung,2,Inti,2020,Socfindo,TM,C192020,190,1.03,184.4660194174757
269,C19,Sedadung,2,Inti,2022,Lonsum,TBM,C192022,249,1.61,154.65838509316768
270,C20,Sedadung,2,Inti,2008,Socfindo,TM,C202008,3795,28.22,134.47909284195606
271,C20,Sedadung,2,Inti,2020,Socfindo,TM,C202020,405,2.54,159.4488188976378
272,C21,Sedadung,2,Inti,2020,Socfindo,TM,C212020,475,4.18,113.63636363636364
273,C21,Sedadung,2,Inti,2021,Socfindo,TBM,C212021,319,1.77,180.22598870056495
274,C22,Sedadung,2,Inti,2022,Lonsum,TBM,C222022,295,2.21,133.4841628959276
275,C23,Sedadung,2,Inti,2022,Lonsum,TBM,C232022,24,0.19,126.3157894736842
276,C24,Sedadung,2,Inti,2022,Lonsum,TBM,C242022,52,0.45,115.55555555555556
277,C25,Sedadung,2,Inti,2022,Lonsum,TBM,C252022,363,2.81,129.1814946619217
278,C26,Sedadung,1,Inti,2008,Damimas,TM,C262008,4740,34.56,137.15277777777777
279,C26,Sedadung,1,Inti,2022,Lonsum,TBM,C262022,813,5.5600000000000005,146.2230215827338
280,C26,Sedadung,1,Inti,2023,Topaz,TBM,C262023,315,2.08,151.44230769230768
281,C27,Sedadung,1,Inti,2008,Damimas,TM,C272008,1740,12.14,143.32784184514003
282,C27,Sedadung,1,Inti,2020,Socfindo,TM,C272020,170,1.2,141.66666666666669
283,C28,Sedadung,1,Inti,2009,Lonsum,TM,C282009,1033,9.01,114.6503884572697
284,C29,Sedadung,2,Inti,2009,Lonsum,TM,C292009,4957,36.0,137.69444444444446
285,C29,Sedadung,2,Inti,2020,Socfindo,TM,C292020,130,0.78,166.66666666666666
286,C29,Sedadung,2,Inti,2022,Lonsum,TBM,C292022,276,1.94,142.2680412371134
287,C29,Sedadung,2,Inti,2023,Lonsum,TBM,C292023,11,0.0,0.0
288,C31,Sedadung,2,Inti,2009,Lonsum,TM,C312009,4392,33.129999999999995,132.56866888016904
289,C31,Sedadung,2,Inti,2020,Socfindo,TM,C312020,385,2.5700000000000003,149.8054474708171
290,C31,Sedadung,2,Inti,2021,Socfindo,TBM,C312021,244,1.84,132.6086956521739
291,C31,Sedadung,2,Inti,2022,Lonsum,TBM,C312022,395,2.69,146.84014869888478
292,C31,Sedadung,2,Inti,2023,Lonsum,TBM,C312023,101,0.89,113.48314606741572
293,C33,Sedadung,2,Inti,2021,Socfindo,TBM,C332021,155,1.12,138.39285714285714
294,C34,Sedadung,2,Inti,2010,Socfindo,TM,C342010,1066,9.68,110.12396694214875
295,C34,Sedadung,2,Inti,2020,Socfindo,TM,C342020,409,3.14,130.25477707006368
296,C34,Sedadung,2,Inti,2022,Lonsum,TBM,C342022,158,0.88,179.54545454545453
297,C38,Sedadung,2,Inti,2022,Lonsum,TBM,C382022,460,3.3999999999999995,135.29411764705884
298,C38,Sedadung,2,Inti,2023,Lonsum,TBM,C382023,61,0.34,179.41176470588235
299,C39,Sedadung,2,Inti,2022,Lonsum,TBM,C392022,153,1.01,151.4851485148515
300,C40,Sedadung,2,Inti,2022,Lonsum,TBM,C402022,252,1.81,139.22651933701658
301,C40,Sedadung,2,Inti,2023,Topaz,TBM,C402023,14,0.1,140.0
