id,tahun,no,lab_id,blok,sample_code,jenis_tanah,estate,divisi,tahun_tanam,blok_tt,nitrogen,pospor,kalium,calsium,magnesium,boron,cuprum
65,2021,65,FL 21 - 3251,H01,LSU-008,Mineral ,Tugang,5,2010,H012010,2.568733983365179,0.1874584396038813,1.157282709834223,0.4031280449033179,0.2011741500678066,18.27071948193342,6.514767534172574
66,2021,66,FL 21 - 3252,H21,LSU-009,Mineral ,Mulau,1,2009,H212009,2.4547066342308166,0.1597488559394958,0.942963629277315,0.5573395511449564,0.2954894402794126,14.214907293175733,5.333862543249642
67,2021,67,FL 21 - 3253,H24,LSU-010,Mineral ,Mulau,1,2010,H242010,2.1801740485525003,0.1636730969798444,0.9575617943036856,0.4504523590467971,0.33705268192937,13.554211118116518,4.925347825782354
68,2021,68,FL 21 - 3254,H10,LSU-011,Mineral ,Tugang,5,2009,H102009,2.671549258837503,0.1807514300345764,1.1832811772197585,0.393508570341154,0.2836302690784573,14.5551386651946,5.719389755850128
69,2021,69,FL 21 - 3255,H11,LSU-012,Mineral ,Tugang,5,2009,H112009,2.7872560132661,0.1814700222576923,1.0835471314381908,0.4336930776530847,0.2953261977339823,16.594892462904888,4.522202789246667
70,2021,70,FL 21 - 3256,H13,LSU-013,Mineral ,Tugang,5,2010,H132010,3.3457194884532764,0.1877064384026707,1.2505647316538362,0.3346967066854467,0.237011052316758,16.258576655734082,7.824061771455786
71,2021,71,FL 21 - 3257,H12,LSU-014,Mineral ,Tugang,5,2009,H122009,2.138459396061521,0.1799151376733005,1.4635128884339437,0.3042367318338065,0.2605207796580326,13.382997810442165,7.257505443917943
72,2021,72,FL 21 - 3258,H17,LSU-015,Mineral ,Mulau,1,2009,H172009,2.5632863917924893,0.1754850131105297,0.9157835155299978,0.5789185447595482,0.2888008117965626,14.021259658905617,5.34406609334451
73,2021,73,FL 21 - 3259,H28,LSU-016,Mineral ,Mulau,1,2009,H282009,2.8749618251364466,0.1846839912902067,1.1908749891887025,0.5520924271425534,0.2686814741906234,15.358111872726868,5.435440689328664
74,2021,74,FL 21 - 3260,H14,LSU-017,Mineral ,Tugang,5,2010,H142010,2.7113255650864807,0.1853762847960767,0.9331801231890172,0.7142901119812801,0.2903597131611266,14.429286374610884,5.046728347800535
75,2021,75,FL 21 - 3261,H27,LSU-018,Mineral ,Mulau,1,2009,H272009,3.104584417333546,0.2080472134939431,1.3461082327969942,0.4448587719559328,0.332647531538733,13.86529655125496,7.145909425265851
76,2021,76,FL 21 - 3262,H34,LSU-019,Mineral ,Mulau,1,2010,H342010,3.074986451201576,0.1973572811479712,1.0317143219291445,0.3526975498370891,0.3458233846978356,14.047092071097865,6.449817637388148
77,2021,77,FL 21 - 3263,H06,LSU-020,Mineral ,Tugang,5,2009,H062009,2.9201656993215823,0.1970089774753095,1.1033567373479434,0.3512876430065582,0.3070465300715218,15.001038860569528,7.058768616052833
78,2021,78,FL 21 - 3264,H07,LSU-021,Mineral ,Tugang,5,2009,H072009,2.2407222159403632,0.1755189136075332,0.9169431773604048,0.6091067321539966,0.2891154797465206,14.812487701260046,4.174141691227884
79,2021,79,FL 21 - 3265,H23,LSU-022,Mineral ,Mulau,1,2010,H232010,2.991990030075791,0.1988604946267221,0.9103211433218216,0.6052009315082106,0.2697409878649481,15.184677997378918,4.856270910758616
80,2021,80,FL 21 - 3266,H25,LSU-023,Mineral ,Mulau,1,2009,H252009,2.131883128585588,0.1667134722603881,1.3802378390508965,0.4555786396046454,0.3682244499336166,13.508771687011164,8.12072857016796
81,2021,81,FL 21 - 3267,H29,LSU-024,Mineral ,Mulau,1,2009,H292009,3.260339863839852,0.2040169569021219,1.390265885156562,0.3871905124538765,0.2652627308878721,14.255046305006903,8.589459857321573
82,2021,82,FL 21 - 3268,H33,LSU-025,Mineral ,Mulau,1,2010,H332010,2.8320906496539084,0.1976284501323999,1.0985635846887103,0.3979025287806285,0.2408844763661983,14.800968731803366,5.924885061198255
83,2021,83,FL 21 - 3269,H20,LSU-026,Mineral ,Mulau,1,2009,H202009,2.4421143788243067,0.1732339874866659,1.0995272069336188,0.5272074749857082,0.2457177553044305,14.193945865100948,4.103875913196212
84,2021,84,FL 21 - 3270,H31,LSU-027,Mineral ,Mulau,1,2010,H312010,3.031721124059291,0.1819186244991593,1.3282733002001572,0.4350313485320437,0.3968776045830307,13.764192576520175,8.44757980286907
85,2021,85,FL 21 - 3271,H30,LSU-028,Mineral ,Mulau,1,2010,H302010,2.962339103288027,0.1897035688947839,1.2293186643156688,0.5188942872483756,0.3960326675976267,14.012759832719986,8.101024665907888
86,2021,86,FL 21 - 3272,H32,LSU-029,Mineral ,Mulau,1,2010,H322010,2.2238231276111518,0.1791454032681986,1.1501582015233436,0.3309538163785642,0.4047908423624041,13.513520575116992,6.398781991591745
87,2021,87,FL 21 - 3273,H03,LSU-030,Mineral ,Tugang,5,2009,H032009,2.4120740086096304,0.1899363432913007,1.162833114422507,0.3623648253004924,0.3608195595209593,13.61507923916882,5.444486429887996
88,2021,88,FL 21 - 3274,H05,LSU-031,Mineral ,Tugang,5,2010,H052010,2.504603214908834,0.1587484742346139,1.1210238042094467,0.4471049758873613,0.2802923632541225,13.88226879997276,19.73446933430147
89,2021,89,FL 21 - 3275,H15,LSU-032,Mineral ,Tugang,5,2010,H152010,2.372147578826836,0.1624191817429319,1.1518317944552985,0.5849135914091064,0.3388950737022432,13.167078036760753,5.571288913711627
90,2021,90,FL 21 - 3276,I01,LSU-001,Mineral ,Mulau,2,2011,I012011,2.7069799559724617,0.1663133966280132,0.9280462940441336,0.2719814137399614,0.3709389370426704,16.586009427178,4.396763032631617
91,2021,91,FL 21 - 3277,I24,LSU-002,Mineral ,Mulau,3,2011,I242011,2.644062469408819,0.1678121090489442,1.0334950473607336,0.3713192916008975,0.277305247005277,16.288311519232852,7.5750714448843635
92,2021,92,FL 21 - 3278,I28,LSU-003,Mineral ,Mulau,3,2010,I282010,3.397368836225536,0.2227670996403255,1.3412758559064542,0.5637350096830273,0.3238854282376555,16.674757181763773,8.996161945220774
93,2021,93,FL 21 - 3279,I07,LSU-004,Mineral ,Mulau,2,2011,I072011,2.509500492585955,0.1712988777207452,1.3243140080215154,0.4888381496222592,0.2520937557125967,15.011155525920358,6.935830265529234
94,2021,94,FL 21 - 3280,I27,LSU-005,Mineral ,Mulau,3,2011,I272011,2.9371943349390133,0.1835155298013189,1.378472530790016,0.4717087396760913,0.2418529018825571,15.913907760285356,7.051900638701545
95,2021,95,FL 21 - 3281,I05,LSU-006,Mineral ,Mulau,2,2009,I052009,2.600762329661608,0.1613532179519199,1.0024059164936467,0.4195298534911423,0.3142557941132312,14.521685190071432,5.261744988869928
96,2021,96,FL 21 - 3282,I04,LSU-007,Mineral ,Mulau,2,2009,I042009,2.5398057007320154,0.1602974316291998,0.9133103524134176,0.4109183895139908,0.339596567130193,15.366253916156944,5.0069227970717485
97,2021,97,FL 21 - 3283,I23,LSU-008,Mineral ,Mulau,3,2010,I232010,3.0443484116928627,0.199060375126065,1.146832177505512,0.5843202986608178,0.3129161311623354,16.514142253743575,6.972958959738357
98,2021,98,FL 21 - 3284,I21,LSU-009,Mineral ,Mulau,3,2010,I212010,2.798959591397615,0.1902735686539622,1.0559253767015715,0.6154401142446217,0.2311845557354797,15.580629217030513,6.869784523106633
99,2021,99,FL 21 - 3285,I17,LSU-010,Mineral ,Mulau,2,2011,I172011,2.948550178212707,0.1900343851086167,1.201308050754008,0.5797668250933989,0.252930948084925,16.30177313079,6.938258760494173
100,2021,100,FL 21 - 3286,I26,LSU-011,Mineral ,Mulau,3,2011,I262011,2.942576295757733,0.1888182255467293,1.3762564819304484,0.5551777918798657,0.241281739020637,16.869368714003393,7.22203844687621
101,2021,101,FL 21 - 3287,I13,LSU-012,Mineral ,Mulau,2,2012,I132012,2.3422477055230617,0.1451972706378825,0.8275160157455992,0.5928455337968584,0.2469314546217649,13.279949999754251,4.502790480343721
102,2021,102,FL 21 - 3288,I02,LSU-013,Mineral ,Mulau,2,2011,I022011,2.582002722231466,0.184238316527794,1.1900099243391975,0.5562481999521772,0.2737473258705993,15.911563316228584,6.2468503141982685
103,2021,103,FL 21 - 3289,I16,LSU-014,Mineral ,Mulau,3,2010,I162010,2.590676766246637,0.167357155826975,1.2274697401196255,0.4520436321770642,0.1832088099693733,15.80609901588404,7.445348901983445
