id,company,estate_lama,status_lahan,divisi_lama,blok,tahun_tanam,id.1,class,luas,comments,bulan,periode,pokok,asal_bibit,estate,divisi,tm_tbm,divisi_a_b,x,y
4737,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B27,2009,1,Palms,0.08,,,,0,Lonsum,Melamor,3,TM,,111268769657121,0.482823334060968
4738,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,1,Palms,0.07,,,,0,Damimas,Melamor,3,TM,,11125524593905,0.460155709485102
4739,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,1,Palms,0.04,,,,0,Damimas,Melamor,3,TM,,111253811060502,0.459999574004801
4740,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,1,Palms,0.13,,,,0,Damimas,Melamor,3,TM,,111255850229149,0.457755540549397
4741,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.32,,,,0,Damimas,Melamor,3,TM,,11125526853724,0.459712691892698
4742,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.17,,,,0,Damimas,Melamor,3,TM,,111254698878156,0.459657702934287
4743,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.05,,,,0,Damimas,Melamor,3,TM,,111253812670291,0.459003745101114
4744,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.25,,,,0,Damimas,Melamor,3,TM,,111253626848149,0.460024891007411
4745,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.04,,,,0,Damimas,Melamor,3,TM,,111252278777079,0.456729726673598
4746,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.15,,,,0,Damimas,Melamor,3,TM,,111252135520571,0.459306913082358
4747,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.04,,,,0,Damimas,Melamor,3,TM,,111251465857875,0.454246751503232
4748,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.11,,,,0,Damimas,Melamor,3,TM,,111254687881511,0.458946408233657
4749,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.03,,,,0,Damimas,Melamor,3,TM,,111254771314282,0.457904957831386
4750,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.03,,,,0,Damimas,Melamor,3,TM,,11125494486558,0.45888083926991
4751,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.03,,,,0,Damimas,Melamor,3,TM,,111251057121042,0.45551411588733
4752,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.04,,,,0,Damimas,Melamor,3,TM,,111250837612695,0.455830415661952
4753,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.06,,,,0,Damimas,Melamor,3,TM,,111250828979825,0.458345366658181
4754,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.04,,,,0,Damimas,Melamor,3,TM,,111250801585472,0.454009073365533
4755,PT. Grand Utama Mandiri,Timur,Inti,Division II,B21,2009,4,Vacant Area,0.06,,,,0,Damimas,Melamor,3,TM,,111255187294375,0.457803622888071
4756,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,1,Palms,3.07,,,,0,Lonsum,Melamor,4,TM,,111235577007175,0.460772410936523
4757,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,1,Palms,0.67,,,,0,Lonsum,Melamor,4,TM,,111235192417622,0.463267561544985
4758,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,4,TM,,111235078489204,0.463376336708469
4759,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,111235032467805,0.463127211418711
4760,PT. Grand Utama Mandiri,Timur,Inti,Division II,B13,2009,1,Palms,3.3,,,,0,Scofindo,Melamor,4,TM,,111238030694293,0.451954160925381
4761,PT. Grand Utama Mandiri,Timur,Inti,Division II,B13,2009,4,Vacant Area,0.1,,,,0,Scofindo,Melamor,4,TM,,111237146912505,0.452166753181293
4762,PT. Grand Utama Mandiri,Timur,Inti,Division II,B13,2009,1,Palms,1.11,,,,0,Scofindo,Melamor,4,TM,,111237479193526,0.450297226293957
4763,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,1,Palms,0.89,,,,0,Lonsum,Melamor,4,TM,,111240654125503,0.44608415317937
4764,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.07,,,,0,Lonsum,Melamor,4,TM,,111238606627712,0.446250907331366
4765,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.53,,,,0,Lonsum,Melamor,4,TM,,111240184406481,0.446296231755356
4766,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.06,,,,0,Lonsum,Melamor,4,TM,,111238643918539,0.445736820986618
4767,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,111239100407599,0.445893765030397
4768,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,111240880114135,0.446330318062561
4769,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,4,TM,,11123874676905,0.445964300511802
4770,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.18,,,,0,Lonsum,Melamor,4,TM,,111238235999986,0.446168914456541
4771,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,11123893756639,0.470604043126964
4772,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.09,,,,0,Lonsum,Melamor,4,TM,,111240291888804,0.470149619862173
4773,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.14,,,,0,Lonsum,Melamor,4,TM,,111239546566303,0.4705576500966
4774,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,111238491827368,0.471222087577671
4775,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,1,Palms,3.17,,,,0,Lonsum,Melamor,4,TM,,111240410420596,0.443793015977645
4776,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.1,,,,0,Lonsum,Melamor,4,TM,,111239753139712,0.443874402514257
4777,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,4,TM,,111240454432768,0.443954200294802
4778,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,4,TM,,111239997012149,0.443132430736255
4779,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.07,,,,0,Lonsum,Melamor,4,TM,,111239331194512,0.443755727090366
4780,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B11,2010,4,Vacant Area,0.07,,,,0,Lonsum,Melamor,4,TM,,11123919668271,0.442943128950407
4781,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.11,,,,0,Lonsum,Melamor,4,TM,,111241213982341,0.470293056202572
4782,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.09,,,,0,Lonsum,Melamor,4,TM,,111241546488559,0.471065873635578
4783,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.08,,,,0,Lonsum,Melamor,4,TM,,111243828963312,0.472664167329884
4784,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,4,TM,,111244219164737,0.469762223485773
4785,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.08,,,,0,Lonsum,Melamor,4,TM,,111243808209978,0.470224242801119
4786,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,4,TM,,111243596600051,0.468273310582052
4787,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,4,TM,,111243372288872,0.470010178809709
4788,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,4,TM,,1112456411913,0.468901126641373
4789,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,4,TM,,111243925239239,0.467738251993234
4790,PT. Grand Utama Mandiri,Timur,Inti,Division II,B14,2009,1,Palms,1.54,,,,0,Lonsum,Melamor,3,TM,,111244841764888,0.457929365536237
4791,PT. Grand Utama Mandiri,Timur,Inti,Division II,B14,2009,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,3,TM,,111245421664138,0.45813875822689
4792,PT. Grand Utama Mandiri,Timur,Inti,Division II,B14,2009,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,3,TM,,111244674982887,0.45718058644779
4793,PT. Grand Utama Mandiri,Timur,Inti,Division II,B08,2008,1,Palms,5.04,,,,0,Damimas,Melamor,4,TM,,111248650604505,0.475895307462922
4794,PT. Grand Utama Mandiri,Timur,Inti,Division II,B18,2009,1,Palms,6.85,,,,0,Lonsum,Melamor,3,TM,,111260312171205,0.470722054078793
4795,PT. Grand Utama Mandiri,Timur,Inti,Division II,B18,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,11126065749855,0.470641222063597
4796,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B19,2009,1,Palms,0.05,,,,0,Lonsum,Melamor,3,TM,,111263254501179,0.449351770343271
4797,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B19,2009,1,Palms,0.87,,,,0,Lonsum,Melamor,3,TM,,111262091822614,0.448051464751686
4798,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B19,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,111261976068744,0.447961051661356
4799,PT. Grand Utama Mandiri,Timur,Inti,Division II,B22,2009,1,Palms,1.64,,,,0,Damimas,Melamor,4,TM,,111264243509282,0.463186154384137
4800,PT. Grand Utama Mandiri,Timur,Inti,Division II,B22,2009,4,Vacant Area,0.03,,,,0,Damimas,Melamor,4,TM,,111263838488898,0.463420743068696
4801,PT. Grand Utama Mandiri,Timur,Inti,Division II,B22,2009,4,Vacant Area,0.06,,,,0,Damimas,Melamor,4,TM,,111264191665188,0.46351169672719
4802,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,1,Palms,0.47,,,,0,Damimas,Melamor,4,TM,,111264578721143,0.474464025687774
4803,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,4,Vacant Area,0.05,,,,0,Damimas,Melamor,4,TM,,111264922814579,0.474313874741752
4804,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,4,Vacant Area,0.04,,,,0,Damimas,Melamor,4,TM,,111264249384153,0.47436355931215
4805,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,111265866995355,0.466932377542613
4806,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,111265799147456,0.467162426547668
4807,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,4,Vacant Area,0.13,,,,0,Lonsum,Melamor,3,TM,,11126562913864,0.467708793483454
4808,PT. Grand Utama Mandiri,Timur,Inti,Division II,B22,2009,1,Palms,0.27,,,,0,Damimas,Melamor,4,TM,,111264285351936,0.465217546251419
4809,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B24,2009,1,Palms,0.33,,,,0,Lonsum,Melamor,3,TM,,111265345642453,0.457578085012683
4810,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,1,Palms,1.05,,,,0,Lonsum,Melamor,3,TM,,111270384745809,0.47008417977336
4811,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,111270365960295,0.470211506486289
4812,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B25,2009,4,Vacant Area,0.02,,,,0,Lonsum,Melamor,3,TM,,111271009947401,0.46999494535343
4813,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,0.68,,,,0,Damimas,Melamor,4,TM,,111232945434413,0.459763374442222
4814,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,0.04,,,,0,Damimas,Melamor,4,TM,,111232484285548,0.459438149693804
4815,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,2.51,,,,0,Damimas,Melamor,4,TM,,111232049639986,0.462265179638879
4816,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,4,Vacant Area,0.14,,,,0,Damimas,Melamor,4,TM,,111232461258665,0.461335948261338
4817,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,4,Vacant Area,0.03,,,,0,Damimas,Melamor,4,TM,,111230701773474,0.459119934138306
4818,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,4,Vacant Area,0.08,,,,0,Damimas,Melamor,4,TM,,111232590921026,0.460972575478753
4819,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,1.05,,,,0,Damimas,Melamor,4,TM,,111232429808935,0.464787318025618
4820,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,4,Vacant Area,0.19,,,,0,Damimas,Melamor,4,TM,,111232679397789,0.46459843715632
4821,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,1,Palms,4.92,,,,0,Lonsum,Melamor,4,TM,,111238526821374,0.464130580887764
4822,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,4,TM,,111238624277407,0.463343473119457
4823,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,4,Vacant Area,0.11,,,,0,Lonsum,Melamor,4,TM,,111239575320066,0.46439213113126
4824,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,1,Palms,0.04,,,,0,Lonsum,Melamor,3,TM,,111243679761772,0.446791727173345
4825,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,1,Palms,3.49,,,,0,Lonsum,Melamor,3,TM,,111245878901343,0.452967831180467
4826,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,1,Palms,0.04,,,,0,Lonsum,Melamor,3,TM,,111247275215463,0.450113961196982
4827,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,1,Palms,0.17,,,,0,Lonsum,Melamor,3,TM,,111247390008223,0.449480967506798
4828,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,1,Palms,0.11,,,,0,Lonsum,Melamor,3,TM,,111246799146021,0.449219792863763
4829,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,3,TM,,111246066268589,0.453616485007355
